response,response_correct,response_frequency,spelling_check,acronym_check,acronym_candidate
Learning Analytics,,1,likely misspelled,,
Learning a new language,,1,,,
Learning ability,,3,,,
Learning capacity,,1,,,
Learning difficulties,,1,,,
Learning disabilities,,3,,,
Learning disability,,1,,,
Learning goals,,1,,,
Learning languages,,1,,,
Learning outcomes,,2,,,
Learning theories,,1,,,
Lecture,,3,,,
Lecture hall,,1,,,
Lecture halls,,2,,,
Lecturer,,1,,,
Lectures,,26,,,
Legacy,,1,,,
Legal Protection,,1,,,
Legend,,1,,,
Legislation,,1,,,
Lego Robotics,,1,,,
Legos,,1,likely misspelled,,
Length,,1,,,
Leonardo da Vinci,,23,likely misspelled,,
Lessons,,1,,,
Lev Landau,,1,likely misspelled,,
Lewis and Clark,,1,,,
Liberal arts,,1,,,
Liberty,,1,,,
Librarian,,1,,,
Librarians,,1,,,
Libraries,,12,,,
Library,,22,,,
Library card,,1,,,
License to kill,,1,,,
Licensing,,1,,,
Lichess org,,1,likely misspelled,,
Life goals,,1,,,
Life lessons,,1,,,
Lifelong learning,,1,,,
Light,,1,,,
Light Bulb,,1,,,
Light Speed Travel,,1,,,
Light Year,,1,,,
Light bulb,,5,,,
Lighted,,1,,,
Lightning conductor,,1,,,
Limits,,2,,,
Lincoln Douglas,,1,,,
Linear Algebra,,1,,,
Linear Equations,,1,,,
Linear Regression,,1,,,
Linear Thinking,,1,,,
Linear algebra,,2,,,
Linguistics,,4,,,
LinkedIn,,4,likely misspelled,,
Linux,,4,,,
Listening,,11,,,
Listening attentively,,1,,,
Listening skills,,1,,,
Literacy,,3,,,
Literary Theory,,1,,,
Literary analysis,,1,,,
Literature,,49,,,
Literature Courses,,1,,,
Literature Prize,,1,,,
Literature Review,,6,,,
Literature analysis,,1,,,
Literature circles,,1,,,
Literature review,,5,,,
Literature search,,1,,,
Literature teacher,,1,,,
Lively,,1,,,
Loans,,1,,,
Local scholarships,,1,,,
Locke s Socks,,1,,,
Logarithms,,2,,,
Logic,,36,,,
Logic Games,,1,,,
Logic Gates,,1,,,
Logic Problems,,1,,,
Logic Puzzles,,2,,,
Logic circuits,,2,,,
Logic formulas,,1,,,
Logic games,,3,,,
Logic gates,,4,,,
Logic models,,1,,,
Logic problems,,2,,,
Logic puzzles,,7,,,
Logical,,2,,,
Logical Conclusions,,1,,,
Logical Deductions,,1,,,
Logical Fallacies,,3,,,
Logical Positivism,,1,,,
Logical Reasoning,,1,,,
Logical consistency,,1,,,
Logical deductions,,1,,,
Logical fallacies,,4,,,
Logical operations,,1,,,
Logical reasoning,,8,,,
Logical thinking,,5,,,
Logician,,1,,,
Logistic regression,,1,,,
Logistics planning,,1,,,
Logos,,1,,,
London,,2,,,
London System,,1,,,
Long study,,1,,,
Long study nights,,1,,,
Losing,,1,,,
Lou Gehrig s disease,,2,,,
Louis Pasteur,,1,,,
Louis Pasteur s pasteurization,,1,,,
Louisa May Alcott,,1,,,
Love letters,,2,,,
Love stories,,1,,,
Lucasian Professor of Mathematics,,1,likely misspelled,,
Ludwig van Beethoven,,1,,,
Luminous,,1,,,
Lumosity,,1,likely misspelled,,
Lunch Line,,1,,,
Lunchtime,,1,,,
MATLAB,,1,,likely an acronym,
MENSA,,4,,likely an acronym,
MENSA card,,1,,,
MI,,12,,likely an acronym,Malawi
MI vs MI,,1,,,
MIT,,1,,likely an acronym,Massachusetts Institute of Technology
MLA APA format,,1,likely misspelled,,
MOOCs,,5,likely misspelled,,
MRI,,5,,likely an acronym,Magnetic resonance imaging
MRI Machine,,2,,,
MRI machine,,1,,,
MRI scans,,1,,,
MVP Minimum Viable Product,,2,,,
Mac,,1,,,
MacBook,,1,likely misspelled,,
MacGyver,,2,likely misspelled,,
Machine Learning,,17,,,
Machine Learning Models,,1,,,
Machine Vision,,1,,,
Machine ethics,,1,,,
Machine learning,,11,,,
Machine vision,,1,,,
Macintosh,,1,,,
Mad scientist,,2,,,
Magazine,,1,,,
Magazines,,5,,,
Magellan,,1,,,
Magic The Gathering,,2,,,
Magic the Gathering Arena,,1,,,
Magna Carta,,3,likely misspelled,,
Magnetism,,1,,,
Magnus Carlsen,,9,likely misspelled,,
Mailchimp,,1,likely misspelled,,
Maine,,1,,,
Major,,2,,,
Major choice,,1,,,
Major specific scholarships,,1,,,
Majors,,4,,,
Makeup,,1,,,
Makeup Artistry,,1,,,
Making a Murderer,,2,,,
Malala Yousafzai,,5,likely misspelled,,
Malware protection,,1,,,
Management,,2,,,
Mandarin,,1,,,
Manga,,1,,,
Manhattan Project,,1,,,
Manuals,,2,,,
Manuscript,,1,,,
Manuscript Submission,,1,,,
Many Worlds Interpretation,,2,,,
Map puzzles,,1,,,
Maps,,1,,,
Marco Polo,,1,,,
Margaret Atwood,,1,,,
Margaret Thatcher,,1,,,
Marie Curie,,20,,,
Marine biology,,2,,,
Mark Twain,,3,,,
Mark Zuckerberg,,17,likely misspelled,,
Market Exclusivity,,1,,,
Market Prediction,,1,,,
Market Research,,3,,,
Market Trends,,3,,,
Market analysis,,1,,,
Market forecasting,,1,,,
Market trends,,1,,,
Marketing,,3,,,
Marketing strategies,,2,,,
Marriage,,1,,,
Marriage and family,,1,,,
Mars Rover,,8,,,
Mars Rovers,,1,,,
Mars colonization,,3,,,
Mars missions,,1,,,
Mars rover,,3,,,
Mars rovers,,2,,,
Marshall Scholarship,,1,,,
Martial Arts,,1,,,
Martin Luther King Jr,,4,,,
Marx,,1,,,
Marxism,,1,,,
Mary Wollstonecraft,,1,,,
Maslow s hierarchy of needs,,1,likely misspelled,,
Mass,,2,,,
Master s,,2,,,
Master s Degree,,1,,,
Master s degree,,3,,,
Masterclass,,1,,,
Mastermind,,1,,,
Masterpiece,,1,,,
Mastery,,1,,,
Materials Science,,1,,,
Math,,16,,,
Math Class,,1,,,
Math Savant,,1,,,
Math anxiety,,4,,,
Math club,,1,,,
Math competitions,,2,,,
Math equations,,2,,,
Math exams,,1,,,
Math homework,,1,,,
Math lab,,1,,,
Math problems,,6,,,
Math puzzles,,1,,,
Math tests,,1,,,
Mathematical Equations,,1,,,
Mathematical Models,,1,,,
Mathematical genius,,1,,,
Mathematical journals,,1,,,
Mathematical modeling,,1,,,
Mathematical models,,1,,,
Mathematical reasoning,,1,,,
Mathematician,,2,,,
Mathematics,,33,,,
Mathletes,,1,likely misspelled,,
Maxwell,,1,,,
Maxwell s equations,,2,,,
Maya Angelou,,2,,,
Mayans,,1,,,
Maze,,2,,,
Mazes,,1,,,
Meal planning,,1,,,
Measure Theory,,1,,,
Measurement,,3,,,
Measurements,,1,,,
Mechanic,,1,,,
Mechanical puzzles,,1,,,
Mechanics,,2,,,
Mechatronics,,1,likely misspelled,,
Media,,1,,,
Media influences,,1,,,
Mediation,,1,,,
Medical anthropology,,1,,,
Medical breakthroughs,,1,,,
Medical research,,1,,,
Medicine,,12,,,
Medieval Knights,,1,,,
Meditation,,9,,,
Meetings,,1,,,
Melinda Gates,,1,,,
Membership,,2,,,
Membership benefits,,1,,,
Membership card,,1,,,
Membership fee,,1,,,
Membership qualifications,,1,,,
Membership requirements,,1,,,
Memes,,2,,,
Memoirs,,1,,,
Memories,,2,,,
Memory,,26,,,
Memory Loss,,1,,,
Memory card,,1,,,
Memory exercises,,1,,,
Memory feats,,1,,,
Memory formation,,1,,,
Memory games,,2,,,
Memory improvement apps,,1,,,
Memory loss,,1,,,
Memory recall,,1,,,
Memory retention,,1,,,
Memory tests,,1,,,
Memrise,,1,likely misspelled,,
Mensa,,77,,,
Mensa IQ test,,1,,,
Mensa International,,3,,,
Mensa Society,,1,,,
Mensa club,,1,,,
Mensa meeting,,1,,,
Mensa meetings,,1,,,
Mensa membership,,4,,,
Mensa puzzle books,,1,,,
Mensa puzzles,,1,,,
Mensa society,,1,,,
Mensa test,,2,,,
Mental,,1,,,
Mental Age,,1,,,
Mental Agility,,1,,,
Mental Computation,,1,,,
Mental Disorders,,1,,,
Mental Exercise,,1,,,
Mental Health,,3,,,
Mental Illness,,2,,,
Mental Models,,1,,,
Mental Strength,,1,,,
Mental Wellness,,1,,,
Mental acuity,,2,,,
Mental age,,2,,,
Mental agility,,3,,,
Mental aptitude,,1,,,
Mental capacity,,3,,,
Mental challenge,,1,,,
Mental disorders,,3,,,
Mental exercise,,1,,,
Mental fitness,,1,,,
Mental framework,,1,,,
Mental health,,2,,,
Mental health awareness,,1,,,
Mental hospital,,1,,,
Mental imagery,,1,,,
Mental processes,,1,,,
Mental resilience,,1,,,
Mental rotation,,1,,,
Mental sharpness,,1,,,
Mental sport,,1,,,
Mental wellness,,1,,,
Mental workout,,1,,,
Mentality,,1,,,
Mentally sharp,,1,,,
Mentor,,3,,,
Mentoring,,3,,,
Mentors,,2,,,
Mentorship,,7,likely misspelled,,
Merit,,1,,,
Merit awards,,1,,,
Meritocracy,,1,,,
Meta cognition,,1,,,
Metaphysics,,1,,,
Meteor,,1,,,
Meteorology,,2,,,
Methodical,,1,,,
Methodological rigor,,1,,,
Methodological thinking,,1,,,
Methodology,,8,,,
Methods,,2,,,
Metrics,,1,,,
Michael Faraday,,1,,,
Michelangelo,,3,,,
Michelin stars,,1,,,
Michelle Obama,,1,,,
Michelson Morley experiment,,1,,,
Michio Kaku,,1,likely misspelled,,
Microbiology,,2,,,
Microchips,,1,,,
Microfabrication,,1,likely misspelled,,
Microphones,,1,,,
Microscope,,1,,,
Microscopes,,2,,,
Microsoft,,8,,,
Microsoft Office,,2,,,
Microsoft Word,,2,,,
Microwave oven,,1,,,
Middle Ages,,3,,,
Midterms,,1,,,
Mikhail Tal,,1,likely misspelled,,
Milestone,,1,,,
Mileva Marić,,1,likely misspelled,,
Military,,1,,,
Military Strategies,,1,,,
Military drones,,2,,,
Military intelligence,,1,,,
Milky Way,,3,,,
Mind,,11,,,
Mind body connection,,1,,,
Mind body problem,,1,,,
Mind games,,2,,,
Mindfulness,,5,,,
Mindfulness meditation,,1,,,
Minecraft,,1,likely misspelled,,
Mineralogy,,1,,,
Minesweeper,,1,,,
Minimax,,1,,,
Minor,,2,,,
Minority Report,,1,,,
Minority scholarships,,1,,,
Mission Impossible,,2,,,
Mixed Reality,,1,,,
Mobile Apps,,2,,,
Modal logic,,1,,,
Model,,1,,,
Model S,,1,,,
Model building,,1,,,
Moderators,,1,,,
Modern art,,1,,,
Modernism,,1,,,
Modus Ponens,,1,likely misspelled,,
Modus Tollens,,1,likely misspelled,,
Modus ponens,,1,likely misspelled,,
Molecular Biology,,1,,,
Molecular biology,,2,,,
Money,,5,,,
Mongol Empire,,1,,,
Monitor,,1,,,
Monographs,,1,,,
Monopoly,,1,,,
Monsanto,,1,,,
Moon Landing,,1,,,
Morality,,2,,,
Moriarty,,1,,,
Morphology,,1,,,
Morse code,,2,,,
Mosaics,,1,,,
Mossad,,4,likely misspelled,,
Most Wanted list,,1,,,
Motivated,,1,,,
Motivation,,3,,,
Motivational speakers,,1,,,
Motivational speaking,,2,,,
Motive,,1,,,
Motor Neuron Disease,,1,,,
Mount Blade,,1,,,
Mount Everest s height measured,,1,,,
Mountain View,,1,,,
Moustache,,1,likely misspelled,,
Movies,,1,,,
Mozart,,9,,,
Mrs Johnson,,1,,,
Multilingualism,,1,,,
Multiple choice questions,,1,,,
Multiplication,,2,,,
Multiplication tables,,1,,,
Multitasking,,2,,,
Multiverse,,1,,,
Multiverse Theory,,1,,,
Murder mystery,,1,,,
Museums,,4,,,
Music,,7,,,
Music Class,,1,,,
Music Prodigy,,1,,,
Music composition,,1,,,
Music concerts,,1,,,
Music discovery,,1,,,
Music scholarships,,1,,,
Musical Genius,,1,,,
Musk,,2,,,
Mustache,,2,,,
Mystery,,9,,,
Mystery Novels,,1,,,
Mystery games,,1,,,
Mystery novels,,3,,,
Mythology,,3,,,
NASA,,28,,likely an acronym,National Aeronautics and Space Administration
NASA logo,,1,,,
NCAA,,1,,likely an acronym,National Collegiate Athletic Association
NFL records,,1,,,
NFTs,,1,likely misspelled,,
NPR,,1,,likely an acronym,National Public Radio
NRA,,1,,likely an acronym,National Rifle Association of America
NSA,,16,,likely an acronym,U.S. National Security Agency
NSA hacking,,1,,,
Nakamura,,1,likely misspelled,,
Name tags,,1,,,
Nancy Drew,,1,,,
Nanobots,,1,,,
Nanotechnology,,4,,,
Napoleon,,2,,,
Napoleon Bonaparte,,2,,,
National Debate League,,1,,,
National Geographic,,1,,,
National Merit,,1,,,
National Spelling Bee,,1,,,
National defense,,1,,,
National scholarships,,1,,,
National security,,1,,,
National tournaments,,1,,,
Native American elders,,1,,,
Natural Language Processing,,6,,,
Natural Language Processing NLP,,1,likely misspelled,,
Natural ability,,1,,,
Natural language processing,,4,,,
Natural selection,,1,,,
Nature,,6,,,
Nature journal,,1,,,
Nature of intelligence,,1,,,
Nature vs nurture,,1,,,
Navier Stokes Equation,,1,likely misspelled,,
Negotiation,,2,,,
Negotiation Skills,,1,,,
Neil Armstrong,,3,,,
Neil Gaiman,,1,,,
Neil deGrasse Tyson,,9,likely misspelled,,
Nelson Mandela,,2,,,
Nerd group,,1,,,
Nerves,,2,,,
Nervous System,,1,,,
Nervous system,,1,,,
Nervousness,,1,,,
Netflix,,7,,,
Netflix suggestions,,1,,,
Networking,,16,,,
Networking Apps,,1,,,
Neural Networks,,9,,,
Neural networks,,2,,,
Neuralink,,2,likely misspelled,,
Neurobiology,,1,likely misspelled,,
Neurodegeneration,,1,likely misspelled,,
Neurodiversity,,1,likely misspelled,,
Neuroethics,,1,likely misspelled,,
Neurogenesis,,2,likely misspelled,,
Neuroimaging,,1,likely misspelled,,
Neurological disorders,,1,,,
Neurology,,9,,,
Neuron,,1,,,
Neurons,,2,,,
Neuroplasticity,,2,likely misspelled,,
Neuropsychology,,3,likely misspelled,,
Neuroscience,,18,,,
Neurosciences,,1,likely misspelled,,
Neuroscientists,,1,likely misspelled,,
Neurosurgery,,1,,,
Neurotechnology,,1,likely misspelled,,
Neurotransmitters,,1,,,
New Species,,1,,,
New Year s Eve,,1,,,
New York City,,1,,,
News,,2,,,
Newsletters,,1,,,
Newspapers,,4,,,
Newton,,12,,,
Newton s laws,,2,,,
Newton s laws of motion,,1,,,
Newtonian mechanics,,1,,,
Next generation Vaccines,,1,,,
Niels Bohr,,2,likely misspelled,,
Nietzsche,,6,,,
Nightlife,,1,,,
Nikola Tesla,,19,likely misspelled,,
Nikola Tesla Museum,,1,likely misspelled,,
Nimzowitsch,,1,likely misspelled,,
No pencils,,1,,,
Noam Chomsky,,3,likely misspelled,,
Nobel Committee,,1,,,
Nobel Foundation,,1,,,
Nobel Laureate,,3,,,
Nobel Lecture,,2,,,
Nobel Peace Prize,,1,,,
Nobel Prize,,61,,,
Nobel Prize in Literature,,1,,,
Nobel Prize in Physics,,2,,,
Nobel Prize winners,,3,,,
Nobel Prizes,,2,,,
Nobel laureates,,1,,,
Noble Prize Winners,,1,,,
Non Disclosure Agreement,,1,,,
Non contradiction,,1,,,
Non fiction,,11,,,
Non verbal cues,,1,,,
Nonlinear thinking,,1,,,
Nonviolence,,1,,,
Normal distribution,,1,,,
Note cards,,1,,,
Note taking,,3,,,
Notebook,,3,,,
Notebooks,,3,,,
Notes,,1,,,
Notifications,,1,,,
Novels,,9,,,
Novelty,,2,,,
Nuclear,,1,,,
Nuclear Power,,1,,,
Nuclear physics,,1,,,
Number Theory,,1,,,
Numbers,,10,,,
Numerical reasoning,,2,,,
Nurse,,1,,,
Nursing,,2,,,
O ring,,1,,,
Obama,,1,,,
Object oriented programming,,1,,,
Objectivity,,4,,,
Observant,,1,,,
Observation,,9,,,
Observations,,1,,,
Oceanography,,2,,,
Oculus,,1,likely misspelled,,
Office hours,,2,,,
Old,,1,,,
Old age,,1,,,
Old fashioned,,1,,,
Old letters,,1,,,
Old neighborhoods,,1,,,
Old songs,,1,,,
Older Students,,1,,,
Online,,1,,,
Online Banking,,1,,,
Online Courses,,2,,,
Online Databases,,1,,,
Online Resources,,1,,,
Online Shopping,,1,,,
Online advertising,,1,,,
Online banking security,,1,,,
Online classes,,4,,,
Online courses,,5,,,
Online databases,,1,,,
Online exams,,1,,,
Online forums,,1,,,
Online quizzes,,1,,,
Online research,,1,,,
Online shopping,,1,,,
Open Access,,2,,,
Open Source,,1,,,
Open access,,2,,,
Open book tests,,1,,,
Open mindedness,,11,,,
Open source,,1,,,
OpenAI,,2,likely misspelled,,
Operations,,1,,,
Operations Research,,1,,,
Opinion,,1,,,
Opinions,,3,,,
Opponents,,1,,,
Opportunities,,5,,,
Opportunity,,1,,,
Oprah Winfrey,,3,,,
Oprah s Book Club,,1,,,
Optical illusions,,2,,,
Optimization,,4,,,
Organisms,,1,,,
Organization,,2,,,
Orientation week,,1,,,
Origin of the universe,,1,,,
Original Research,,2,,,
Original contribution,,1,,,
Originality,,3,,,
Orson Scott Card,,1,likely misspelled,,
Orwell,,2,,,
Outstanding,,1,,,
Overcoming challenges,,1,,,
Owl,,3,,,
Owls,,2,,,
Ozone layer,,1,,,
P I,,1,,,
PC,,1,,likely an acronym,petacoulomb
PGP,,2,,likely an acronym,Pretty Good Privacy
Pablo Picasso,,1,,,
Pacifist,,1,,,
Page,,1,,,
Pages,,1,,,
Painting,,4,,,
Pakistan,,1,,,
Paleontology,,2,,,
Pandemics,,2,,,
Panel Discussions,,1,,,
Panel discussions,,1,,,
Panels,,3,,,
Panzer Corps,,1,likely misspelled,,
Panzer General,,1,likely misspelled,,
Paper,,2,,,
Paperback,,4,,,
Paperbacks,,2,,,
Papers,,3,,,
Parent involvement,,1,,,
Parental approval,,1,,,
Parenting,,1,,,
Paris,,1,,,
Parkinson s disease,,1,,,
Partial scholarships,,1,,,
Participant observation,,1,,,
Particle Physics,,1,,,
Particle Wave Duality,,1,,,
Particle physics,,1,,,
Parties,,4,,,
Password management,,1,,,
Passwords,,1,,,
Patent Infringement,,1,,,
Patent Office,,1,,,
Patent Trolls,,1,,,
Patent Wars,,1,,,
Patents,,5,,,
Patents Database,,1,,,
Patents Filing Process,,1,,,
Path Integrals,,1,,,
Pathogens,,1,,,
Pathology,,1,,,
Pathos,,1,,,
Patience,,3,,,
Patient Outcomes,,1,,,
Patient outcomes,,1,,,
Patriot Act,,1,,,
Pattern Recognition,,4,,,
Pattern recognition,,3,,,
Patterns,,2,,,
Pauli exclusion principle,,1,,,
Paulo Coelho,,1,likely misspelled,,
Pawn,,1,,,
PayPal,,2,,,
Peace,,4,,,
Peace Prize,,2,,,
Peace efforts,,1,,,
Peace talks,,1,,,
Peak,,1,,,
Pedagogy,,1,,,
Peer Commentary,,1,,,
Peer Learning,,1,,,
Peer Review,,8,,,
Peer Study,,1,,,
Peer admiration,,1,,,
Peer feedback,,1,,,
Peer groups,,1,,,
Peer respect,,1,,,
Peer review,,9,,,
Peer reviewed,,3,,,
Peer reviewed articles,,2,,,
Pell Grant,,3,likely misspelled,,
Pencil,,1,,,
Penetration Testing,,1,,,
Penicillin,,4,,,
Penrose,,1,likely misspelled,,
Penrose Hawking theorems,,1,likely misspelled,,
Pep Rally,,1,,,
Percentage,,1,,,
Percentages,,3,,,
Perception,,17,,,
Perception action cycle,,1,,,
Perceptive,,1,,,
Perceptual organization,,1,,,
Performance,,1,,,
Performance Studies,,1,,,
Performance Tracking,,1,,,
Performance metrics,,1,,,
Performances,,1,,,
Performing arts,,1,,,
Perimeter,,1,,,
Periodic table,,1,,,
Personal Computer,,1,,,
Personal Development,,3,,,
Personal achievements,,1,,,
Personal computer,,1,,,
Personal growth,,2,,,
Personal satisfaction,,1,,,
Personality,,1,,,
Personality tests,,2,,,
Personality types,,2,,,
Personalization,,3,likely misspelled,,
Personalized Medicine,,1,,,
Personalized advertisements,,1,,,
Perspective,,2,,,
Perspective taking,,2,,,
Perspectives,,1,,,
Perspicacious,,1,,,
Persuasion,,3,,,
Persuasive essays,,1,,,
Pet Sematary,,1,likely misspelled,,
Ph D,,2,likely misspelled,,
PhD,,20,,,
PhD thesis,,1,,,
Pharmaceuticals,,1,,,
Pharmacology,,1,,,
Phenomenology,,1,,,
Phi Beta Kappa,,1,,,
Philip K Dick,,1,,,
Philosophers,,1,,,
Philosophical Logic,,2,,,
Philosophical debates,,1,,,
Philosophical paradoxes,,1,,,
Philosophy,,40,,,
Philosophy of Mind,,1,,,
Philosophy of science,,1,,,
Phishing,,1,,,
Phonemics,,1,likely misspelled,,
Phonetics,,5,,,
Phonology,,1,,,
Photocopying,,1,,,
Photoelectric Effect,,3,,,
Photoelectric effect,,1,,,
Photographs,,1,,,
Photography,,3,,,
Photoshop,,1,likely misspelled,,
Photosynthesis,,1,,,
Physical Cosmology,,1,,,
Physical education,,1,,,
Physicist,,2,,,
Physics,,54,,,
Physics Equations,,1,,,
Physics formulas,,1,,,
Physics genius,,1,,,
Physics laws,,1,,,
Pi,,5,,,
Piano savant,,1,,,
Picasso,,3,,,
Picture puzzles,,1,,,
Pie chart,,1,,,
Pierce,,1,,,
Pilot Wave Theory,,1,,,
Pioneer,,3,,,
Pipe,,1,,,
Pitch Deck,,1,,,
Pitch deck,,1,,,
Plagiarism,,1,,,
Planck constant,,1,,,
Planet Earth,,3,,,
Planets,,3,,,
Planning,,5,,,
Plant growth,,1,,,
Plants vs Zombies,,2,,,
Plate Tectonics,,2,,,
Plato,,15,,,
Plato s Cave,,1,,,
Play,,1,,,
PlayStation vs Xbox,,1,likely misspelled,,
Playing strategy games,,1,,,
Pleasure,,1,,,
Plenary Sessions,,1,,,
Plot,,3,,,
Plot Development,,1,,,
Plumber,,1,,,
Pluto s discovery,,1,,,
Podcasts,,3,,,
Poetry,,10,,,
Poincaré Conjecture,,1,likely misspelled,,
Poise,,1,,,
Poker,,1,,,
Policy,,4,,,
Policy debates,,1,,,
Polished,,1,,,
Political Commentary,,1,,,
Political Science,,1,,,
Political parties,,1,,,
Political philosophy,,1,,,
Political polls,,1,,,
Politics,,5,,,
Pollution,,1,,,
Pollution tracking,,1,,,
Polonium,,1,,,
Polynomial,,2,,,
Pompeii,,1,,,
Pompeii excavation,,1,,,
Pop Culture Icon,,1,,,
Pop quiz,,1,,,
Pop quizzes,,1,,,
Portfolio Management,,1,,,
Postdoc,,1,,,
Poster Sessions,,2,,,
Postgraduate,,4,,,
Postmodernism,,2,,,
Potential,,3,,,
Power BI,,1,,,
PowerPoint,,1,,,
Practical Reasoning,,1,,,
Practice,,2,,,
Pragmatics,,1,,,
Prankster,,1,,,
Precision,,5,,,
Predicate Logic,,1,,,
Predicate logic,,1,,,
Predictive Analytics,,2,likely misspelled,,
Predictive Modeling,,3,,,
Predictive analytics,,3,likely misspelled,,
Predictive modeling,,1,,,
Premise,,1,,,
Prep Books,,1,,,
Preparation,,2,,,
Preprint,,1,likely misspelled,,
Presentation,,4,,,
Presentations,,4,,,
Presenting a Paper,,1,,,
Presidential Medal of Freedom,,1,,,
Presidential debates,,1,,,
Presidential elections,,1,,,
Presidents,,2,,,
Press releases,,1,,,
Prestige,,5,,,
Prestigious,,1,,,
Prestigious Award,,1,,,
Prestigious award,,1,,,
Prestigious scholarships,,2,,,
Pride,,1,,,
Pride and Prejudice,,1,,,
Primary Sources,,1,,,
Princeton,,1,,,
Principal Component Analysis,,1,,,
Principles,,1,,,
Printer,,1,,,
Printers and copiers,,1,,,
Printing,,1,,,
Printing press,,1,,,
Prison Life,,1,,,
Privacy,,1,,,
Privacy Concerns,,1,,,
Privacy concerns,,1,,,
Privacy issues,,1,,,
Private college,,1,,,
Private scholarships,,1,,,
Privileged,,1,,,
Probability,,5,,,
Problem Solving,,8,,,
Problem Solving Strategies,,1,,,
Problem solver,,1,,,
Problem solvers,,1,,,
Problem solving,,51,,,
Problems,,3,,,
Procedural content generation,,1,,,
Processing,,1,,,
Procrastination,,2,,,
Product Development,,1,,,
Product design,,1,,,
Productivity,,2,,,
Professional,,1,,,
Professional Attire,,1,,,
Professional Development,,6,,,
Professional achievements,,1,,,
Professional development,,8,,,
Professional growth,,2,,,
Professional journals,,1,,,
Professional qualifications,,1,,,
Professional recognition,,1,,,
Professional success,,1,,,
Professionalism,,1,,,
Professionals,,1,,,
Professor,,8,,,
Professor X,,1,,,
Professors,,12,,,
Professorship,,1,,,
Proficiency,,2,,,
Programmer,,1,,,
Programmers,,1,,,
Programming,,15,,,
Programming Language,,1,,,
Programming Languages,,1,,,
Programming languages,,1,,,
Progress reports,,1,,,
Project,,2,,,
Project Loon,,1,,,
Projects,,10,,,
Prom,,2,,,
Pronunciation,,1,,,
Proof,,6,,,
Proofs,,2,,,
Property,,1,,,
Propositional Logic,,2,,,
Propositional calculus,,2,,,
Propositional logic,,2,,,
Propositions,,2,,,
Prosthetics,,2,likely misspelled,,
Protective intelligence,,1,,,
Protein Folding,,1,,,
Protein synthesis,,1,,,
Protocols,,1,,,
Protractor,,1,,,
Proverbs,,3,,,
Prudence,,1,,,
Psychoanalysis,,1,,,
Psychological assessment,,1,,,
Psychological evaluation,,1,,,
Psychological experiments,,1,,,
Psychological research,,2,,,
Psychological testing,,1,,,
Psychologist,,1,,,
Psychology,,24,,,
Psychometric tests,,1,,,
Psychometrics,,3,likely misspelled,,
PubMed,,3,likely misspelled,,
Public Domain,,1,,,
Public Forum Debate,,1,,,
Public Lectures,,1,,,
Public Speaker,,1,,,
Public Speaking,,6,,,
Public computers,,1,,,
Public health,,1,,,
Public health initiatives,,1,,,
Public key,,1,,,
Public library,,1,,,
Public speaker,,1,,,
Public speaking,,5,,,
Publication,,3,,,
Publication Fees,,1,,,
Publication Opportunities,,1,,,
Publication fees,,1,,,
Publications,,6,,,
Publishing,,3,,,
Pulitzer Prize,,1,,,
Purchases,,1,,,
Pure Strategies,,1,,,
Puzzle,,1,,,
Puzzle adventures,,1,,,
Puzzle apps,,2,,,
Puzzle books,,1,,,
Puzzle competitions,,3,,,
Puzzle games,,1,,,
Puzzle locks,,1,,,
Puzzle magazines,,1,,,
Puzzle mats,,1,,,
Puzzle pieces,,2,,,
Puzzle quests,,1,,,
Puzzle races,,1,,,
Puzzle solvers,,1,,,
Puzzle solving,,2,,,
Puzzle video games,,1,,,
Puzzles,,10,,,
Puzzles books,,1,,,
Pyramids,,5,,,
Pythagoras,,4,,,
Pythagoras theorem,,1,,,
Pythagorean Theorem,,2,,,
Pythagorean theorem,,2,,,
Python,,16,,,
Q A,,1,,,
Q A Sessions,,1,,,
QR codes,,1,,,
Quadratic,,1,,,
Qualification,,1,,,
Qualitative,,1,,,
Qualitative Data,,1,,,
Qualitative Research,,1,,,
Qualitative analysis,,1,,,
Qualitative data,,1,,,
Qualitative research,,1,,,
Quantifiers,,1,,,
Quantitative,,2,,,
Quantitative Analysis,,2,,,
Quantitative Methods,,1,,,
Quantitative Reasoning,,1,,,
Quantitative Research,,2,,,
Quantitative analysis,,2,,,
Quantitative data,,1,,,
Quantitative research,,1,,,
Quantum Algorithms,,1,,,
Quantum Annealing,,1,,,
Quantum Chromodynamics,,1,likely misspelled,,
Quantum Coherence,,1,,,
Quantum Computing,,11,,,
Quantum Consciousness,,1,,,
Quantum Cryptography,,2,,,
Quantum Decoherence,,1,,,
Quantum Dots,,1,,,
Quantum Entanglement,,1,,,
Quantum Field Theory,,3,,,
Quantum Fluctuations,,1,,,
Quantum Foam,,1,,,
Quantum Gravity,,2,,,
Quantum Hall Effect,,1,,,
Quantum Information,,1,,,
Quantum Mechanics,,10,,,
Quantum Optics,,1,,,
Quantum Physics,,3,,,
Quantum Sensors,,2,,,
Quantum Simulation,,1,,,
Quantum State,,1,,,
Quantum Superposition,,1,,,
Quantum Teleportation,,2,,,
Quantum Theory,,4,,,
Quantum Tunneling,,1,,,
Quantum bits,,1,,,
Quantum computing,,7,,,
Quantum cryptography,,1,,,
Quantum entanglement,,1,,,
Quantum error correction,,1,,,
Quantum gates,,1,,,
Quantum hardware,,1,,,
